CODE,NAME
005245873,GDC INC
005320304,COLD HEADING CO
005340591,WHITESELL FORMED COMPONENTS INC
005341664,ADVANCED ASSEMBLY PRODUCTS INC
005346754,VICO PRODUCTS CO
005346762,COOPER STANDARD AUTOMOTIVE INC
005347927,GREENDALE SCREW PRODUCTS CO INC
005349444,WASHERS INC
005354899,KAMAX LP
005356662,GM METAL FAB-FLINT
005356878,NEXTEER AUTOMOTIVE CORP-GENL OFFICE
005372040,ARMADA RUBBER MANUFACTURING CO
005375217,MELLING TOOL CO
005426853,NORTHERN ENGRAVING CORP
005476700,TRW AUTOMOTIVE US LLC
005509385,WHITLAM LABEL CO INC
006015879,KDI TECHNOLOGIES INC
006016810,GRAND RAPIDS LABEL CO
006031561,MAGNA MIRRORS NORTH AMERICA LLC
006102438,TECHNIPLAS LLC
006173025,3M CO
006288377,ELRINGKLINGER USA INC
006374938,MID-STATES RUBBER PRODUCTS INC
006414353,HOOSIER GASKET CORP
006414601,MARTINREA INDUSTRIES INC
006532584,FISHER & CO INC
006553036,ALL STATE FASTENER CORP
007172401,DENSO WIRELESS SYSTEMS AMERICA INC
008679040,SIEGEL-ROBERT INC
008901431,HUBBARD SUPPLY CO
009971289,HENNIGES AUTOMOTIVE IOWA INC
010836716,CCL LABEL INC
011987224,FORMED FIBER TECHNOLOGIES LLC
012839643,GM COMPONENT HOLDINGS LLC-LKPT PTC
013469528,SPECTRUM CUBIC INC
015540748,DELPHI AUTOMOTIVE SYSTEMS LLC
017358867,A G SIMPSON (USA) INC
018106265,US FARATHANE CORP
018414292,DELPHI AUTOMOTIVE SYSTEMS LLC
018422779,CONTITECH NORTH AMERICA INC
019106121,HOLLINGSWORTH LOGISTICS GRP LLC
019883003,JMA LOGISTICS LLC
020837233,DAJACO INDUSTRIES INC
021046771,TOLEDO MOLDING & DIE INC
021093638,BOPP-BUSCH MANUFACTURING CO INC
021295514,SOLAR SPRING & WIRE FORMS
021836754,PRODUCTION SPRING LLC
023256705,NITTO DENKO AUTOMOTIVE NEW JERSEY I
024953291,CAMCAR LLC
025107694,MITSUBISHI ELECTRIC AUTO AMERICA
028127988,PELZER, HP AUTOMOTIVE SYSTEMS INC
028985463,FEDERAL SCREW WORKS
030993351,NIFCO AMERICA CORP
032020088,SIEGEL-ROBERT INC
035749786,NYX INC
035908680,MELLING PRODUCTS NORTH LLC
036065766,TG KENTUCKY LLC
036281710,MOLLERTECH LLC
036904952,CONTINENTAL STRUCTURAL PLASTICS INC
037749264,GM POWERTRAIN-ROMULUS ENGINE
037815961,JOHNSON CONTROLS BATTERY GROUP INC
038389743,LITEFLEX LLC
038709341,JOHNSON CONTROLS BATTERY GROUP INC
038905691,HENNESSY INDUSTRIES INC
039045703,CONTINENTAL AUTOMOTIVE SYSTEMS INC
039102900,GM COMPONENT HOLDINGS LLC-ROCHESTER
039697888,OAKWOOD ENERGY MANAGMENT INC
040584963,UNIQUE FABRICATING INC
041511288,EMHART TEKNOLOGIES LLC
042321828,IROQUOIS INDUSTRIES INC
042438176,KAY SCREEN PRINTING INC
042439265,MOTOR CITY STAMPING INC
042568851,VALEO NORTH AMERICA INC
042658435,DELPHI-E&S - LOS INDIOS
043352038,GRAND TRAVERSE PLASTICS CORP
043933931,THK MANUFACTURING OF AMERICA INC
044958007,PRESTIGE STAMPING INC
044958759,LTC ROLL & ENGINEERING CO
046680919,VIBRACOUSTIC NORTH AMERICA LP
048077101,ALBAR INDUSTRIES INC
048341366,PIRELLI TIRE LLC
048491786,INONTIME INC
049816044,ILLINOIS TOOL WORKS INC
050150481,CHALLENGE MFG CO
050476923,BOSE CORP
050516009,GESIPA FASTENERS USA INC
050614114,AIRBOSS FLEXIBLE PRODUCTS CO
051053866,ACCURATE PRODUCTS INC
051366094,COOPER-STANDARD AUTOMOTIVE INC
051761013,PETOSKEY PLASTICS INC
052043077,GM METAL FAB-LANSING REGIONAL STAMP
052203171,P&R FASTENERS INC
052452141,US FARATHANE CORP
052754223,MACLEAN-FOGG CO
052935558,STONERIDGE INC
052959525,EMHART TEKNOLOGIES LLC
053330874,RALCO INDUSTRIES INC
053331476,BAE INDUSTRIES INC
053480658,YAZAKI NORTH AMERICA INC
053495482,HENNIGES AUTOMOTIVE SEALING SYSTEMS
053585626,CHAMPION PLASTICS INC
053593968,JIFFY-TITE CO INC
054585575,E&E MANUFACTURING CO INC
055353143,DECKER FASTENERS LTD
055355502,YAREMA DIE & ENGINEERING CO
055908586,WHITESELL CORP
056825607,PARKER HANNIFIN CORP
056894041,ABC INOAC EXTERIOR SYSTEMS LLC
057009821,WELLINGTON INDUSTRIES INC
057630774,PITTSBURGH GLASS WORKS LLC
057852626,XPEDX LLC
057856247,TERMAX CORP
058688284,ANGELL-DEMMEL NORTH AMERICA INC
058806126,JAC PRODUCTS INC
058961707,A RAYMOND TINNERMAN MFG INC
059897736,EMHART TEKNOLOGIES LLC
060414450,MACLEAN-FOGG CO
061588798,I TW DAELIM
062137612,AUTOMOTIVE LIGHTING CORP
062222047,MICHIGAN RUBBER PRODUCTS INC
064197742,BASF CORP
064553808,MACAUTO USA INC
064717119,BRC RUBBER & PLASTICS INC
065052011,MICHELIN NORTH AMERICA INC
065055766,BOSCH, ROBERT LLC
065602807,MOLD MASTERS CO
065609430,MICHIGAN PRODUCTION MACHINING INC
065870297,FLUID ROUTING SOLUTIONS INC
066400634,AGC FLAT GLASS NORTH AMERICA INC
066525213,PHILLIPS & TEMRO INDUSTRIES INC
067350017,L&W INC
067392746,STABILUS INC
067692662,ILLINOIS TOOL WORKS INC
068620715,MBL (USA) CORP
070299268,MNP CORP
070850102,MARQUARDT SWITCHES INC
074256942,ENGINEERING TUBE SPECIALTIES INC
077472228,SOUTHTEC LLC
077496289,WALCO CORP
078298831,FAURECIA INTERIOR SYSTEMS INC
078315630,BREMBO NORTH AMERICA INC
078317085,DETROIT TECHNOLOGIES INC
078379977,INTEVA PRODUCTS LLC
078415461,MAYSER POLYMER USA INC
078436118,AVANCEZ LLC
078439732,DAEWON AMERICA INC
078451295,GENERAL MOTORS LLC-ARLINGTON STMPNG
078454937,SHANNON PRECISION FASTNER LLC
078455799,PLASAN CARBON COMPOSITES INC
078474695,GM PERFORMANCE BUILD CENTER
078509026,INTERNATIONAL AUTOMOTIVE COMPONENTS
078517098,MALLORY AUTOMOTIVE AND CONTROLS LLC
078579908,P&F SYSTEMS
078587549,IROQUOIS INDUSTRIES INC
078626570,MAGNA MIRRORS OF AMERICA INC
078675692,SHAPE CORP
078691973,VR DALLAS INC
078699866,DENSO MANUFACTURING TENNESSEE INC
078701744,JANESVILLE ACOUSTICS
078796107,CADILLAC PRODUCTS INC
078797336,NITTO DENKO AUTOMOTIVE NEW JERSEY
078809058,TOYODA GOSEI BROWNSVILLE TEXAS LLC
078810963,DLH INDUSTRIES INC
078849132,LAWRENCE PLASTICS INC
078852206,NITTO DENKO AUTOMOTIVE MISSOURI INC
078881928,CHALLENGE MFG COMPANY
079083401,MINIATURE PRECISION COMPONENTS INC
079094544,THYSSENKRUPP BILSTEIN OF AMERICA IN
079138101,FREUDENBERG-NOK GENERAL PARTNERSHIP
079183209,EXO-S US LLC
079196555,HITACHI AUTOMOTIVE SYSTEMS AMERICAS
079201523,IMPEX FORWARDING AGENCY INC
079293039,MOBIS NORTH AMERICA LLC
079365559,US FARATHANE CORP
079401339,MANN HUMMEL USA INC
079599826,VR LANSING INC
079813268,SANKO GOSEI TECHNOLOGIES USA INC
079877724,DENSO INTERNATIONAL AMERICA INC
079948011,AGM AUTOMOTIVE LLC
080068441,IFA ROTORION-NORTH AMERICA LLC
082607974,ADC DIE CAST & MFG LP
084668367,DELPHI AUTOMOTIVE SYSTEMS LLC
085438430,LYDALL THERMAL/ACOUSTICAL INC
086663101,GM METAL FAB-PARMA PLT
087709226,RAMCO SPECIALTIES INC
087834714,NYLONCRAFT INC
088745260,FTE AUTOMOTIVE USA INC
089290118,MAXION WHEELS SEDALIA LLC
091950469,ARGENT INTERNATIONAL INC
094533879,L&W INC
094565165,CREATIVE FOAM CORP
094790771,COSMA INTERNATIONAL OF AMERICA INC
095394375,TSM CORP
095938320,INTERNATIONAL AUTOMOTIVE COMPONENTS
096141098,HENNIGES AUTOMOTIVE OKLAHOMA INC
097092266,NORTHERN ENGRAVING CORP
097274534,ILLINOIS TOOL WORKS INC
098063683,A RAYMOND TINNERMAN MFG INC
099051716,ILLINOIS TOOL WORKS INC
099578155,SONY ELECTRONICS INC
100363998,MIDWEST ACOUST-A-FIBER INC
101180995,MAG-USA INC
101647907,DRS INDUSTRIES INC
101908965,CHALLENGE MFG CO
102525826,FLEX-N-GATE OKLAHOMA LLC
108171489,HENROB CORP
108415431,CREATIVE FOAM CORP
111934852,AMI INDUSTRIES INC
113062848,HURON INC
113315782,TI GROUP AUTOMOTIVE SYSTEMS LLC
118406698,AISIN MANUFACTURING ILLINOIS LLC
118730472,LEXAMAR CORP
119076131,SCHRADER-BRIDGEPORT INTL INC
119192490,MICHELIN NORTH AMERICA INC
121367911,AUTOPARTES DE PRECISION DE SANTA AN
121584338,GM METAL FAB-MARION
121637367,STERLING DIE & ENGINEERING INC
121793137,CONTINENTAL TIRE THE AMERICAS LLC
122000912,SKILLED MANUFACTURING INC
122505659,KELSEY-HAYES CO
123364965,BEHR-HELLA THERMOCONTROL INC
123495884,IFA ROTORION-NORTH AMERICA LLC
123748993,VALEO NORTH AMERICA
123752912,TRW AUTOMOTIVE US LLC
125190806,SHILOH INDUSTRIES INC
127205537,MFG COMPOSITE SYSTEMS CO
128894909,HV INDUSTRIES INC
129617036,DECOFINMEX SA DE CV
130013019,RIDGEVIEW INDUSTRY INC
130030141,FOSTER ELECTRIC (USA) INC
130078129,YAZAKI NORTH AMERICA INC
130295350,GHSP INC
131002078,ZANINI TENNESSEE INC
131606373,AQ INDUSTRIES INC
131978590,TOLEDO MOLDING & DIE INC
133272877,BOSCH, ROBERT LLC
133879242,BANDO (USA) INC
134213743,DOUGLAS CORP
135227234,SPECIALTY VEHICLE ACQUISITION CORP
136995656,ZHONGDING USA INC
137355322,METHODE ELECTRONICS INC
140323879,AVDEL USA LLC
141148051,CREATIVE FOAM CORP
141454970,KONGSBERG AUTOMOTIVE INC
142199376,CHALLENGE MFG CO
142793590,GENERAL MOTORS LLC-SH MFG COMP/STMP
143314495,O-FLEX AUTOMOTIVE INC
143630593,MSD STAMPING LLC
143630924,JACOBSON MFG LLC
143631294,CONTINENTAL MIDLAND LLC
144331493,GM PONTIAC METAL CENTRE
144340353,RUBBER ENTERPRISES INC
145193053,WINDSOR MOLD USA INC
145376864,KERR INDUSTRIES OF TEXAS INC
146481796,MAGNA MIRRORS OF AMERICA INC
147645162,FLEX TECHNOLOGIES INC
147754931,DENSO MANUFACTURING MICHIGAN INC
147930978,BRC RUBBER & PLASTICS INC
148501836,SANLUIS RASSINI INTERNATIONAL INC
